SNT,RT,MNA,Xpand,Maxscale,Xgress,Parameter,Default value(SNT),Default value(RT),Default value(MNA),Default value(Xpand),Default values(Xgress),Tag(s),Possible Values,Variable type,Requires restart,Read Only,Server/Maxscale,Multiselect,Minimum Value,Maximum Value,Documentation Link,Comments,Active,Config Section
,,,Yes,,Yes,alter_hold_until_checkpoint,,,,FALSE,FALSE,Locks,"TRUE, FALSE",boolean,No,,,,,,,,,
,,,Yes,,Yes,alter_lock,,,,NONE,NONE,Locks,"NONE, SHARED, AUTO",string,No,,,,,,,,,
Yes,Yes,Yes,,,,auto_increment_increment,1,1,1,,,General,,bigint unsigned,No,,,,1,65535,https://r.mariadb.com/skysql-system-variables/auto_increment_increment/,,,
Yes,Yes,Yes,Yes,,Yes,autocommit,ON,ON,ON,ON,ON,General,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/autocommit/,,,
No,Yes,No,,,,binlog_commit_wait_count,0,0,0,,,Replication,"0,5,25,100,500,1000,5000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/binlog_commit_wait_count/,,,
No,Yes,No,,,,binlog_commit_wait_usec,100000,100000,100000,,,Replication,"0,10000,100000,500000,1000000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/binlog_commit_wait_usec/,,,
,Yes,,,Yes,,causal_reads,,none,,,,Routers,"none,local,global,fast",enum,Yes,,,,,,https://mariadb.com/docs/xpand/ref/mxs/module-parameters/causal_reads/,,,ReadWriteSplit
,Yes,,,Yes,,causal_reads_timeout,,10s,,,,Routers,"5s, 10s, 30s, 60s",numeric,Yes,,,,,,https://mariadb.com/docs/xpand/ref/mxs/module-parameters/causal_reads_timeout/,,,ReadWriteSplit
Yes,Yes,Yes,,,,connect_timeout,5,5,10,,,General,,bigint unsigned,No,,,,2,31536000,https://r.mariadb.com/skysql-system-variables/connect_timeout/,,,
Yes,Yes,Yes,,,,cracklib_password_check,OFF,OFF,OFF,,,Security,"OFF, ON, FORCE, FORCE_PLUS_PERMANENT",enumerated,Yes,Yes,,,,,https://r.mariadb.com/skysql-system-variables/cracklib_password_check/,,,
Yes,Yes,Yes,Yes,,Yes,default_password_lifetime,0,0,0,0,0,Security,,integer,No,,,,0,4294967295,https://r.mariadb.com/skysql-system-variables/default_password_lifetime/,,,
